City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,rionero in vulture,40.9257,15.67,-0.71,66,85,5.66,IT,1675632397
254,viedma,-40.8135,-62.9967,31.59,18,48,8.35,AR,1675632398
255,rathkeale,52.5244,-8.9381,7.73,87,100,3.09,IE,1675632399
256,cordoba,-31.4135,-64.1811,34.12,37,0,5.66,AR,1675632367
257,matagami,49.7502,-77.6328,-15.94,66,0,3.09,CA,1675632400
258,sarkand,45.41,79.9186,-3.5,86,92,2.85,KZ,1675632401
259,goundam,16.4145,-3.6708,23.64,12,29,4.11,ML,1675632401
260,thompson,55.7435,-97.8558,-14.91,85,100,2.57,CA,1675632402
261,kholodnyy,62.7167,147.95,-36.42,100,96,1.54,RU,1675632403
262,sebina,-20.8667,27.25,21.74,58,5,4.54,BW,1675632403
263,luena,-11.7833,19.9167,15.95,95,85,2.69,AO,1675632404
264,salalah,17.0151,54.0924,22.05,78,0,0.51,OM,1675632404
265,kysyl-syr,63.8986,122.7617,-46.08,100,74,1.68,RU,1675632406
266,maragogi,-9.0122,-35.2225,26.5,80,18,3.47,BR,1675632354
267,shihezi,44.3,86.0333,-7.19,96,100,2.27,CN,1675632407
268,pregradnoye,45.8218,41.7469,0.32,71,100,5.13,RU,1675632408
269,necochea,-38.5473,-58.7368,29.28,38,36,4.75,AR,1675632408
270,souillac,-20.5167,57.5167,26.21,83,40,2.06,MU,1675632357
271,storforshei,66.4043,14.5233,-1.12,100,40,2.06,NO,1675632410
272,nuevo casas grandes,30.4167,-107.9167,23.98,9,0,5.2,MX,1675632410
273,arraial do cabo,-22.9661,-42.0278,27.92,78,75,2.06,BR,1675632109
274,kaduy,59.2,37.15,-20.7,100,100,0.84,RU,1675632412
275,binga,-17.6203,27.3414,22.53,84,79,1.04,ZW,1675632413
276,narsaq,60.9167,-46.05,-6.88,93,100,2.55,GL,1675632414
277,sao gabriel da cachoeira,-0.1303,-67.0892,25.91,94,87,0.18,BR,1675632404
278,bangsund,64.3968,11.3949,3.28,93,40,1.54,NO,1675632415
279,bilibino,68.0546,166.4372,-35.55,100,100,0.82,RU,1675632257
280,chapais,49.7834,-74.8492,-15.12,86,100,2.22,CA,1675632416
281,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,93,100,2.0,RU,1675632417
282,klaksvik,62.2266,-6.589,8.51,93,100,15.73,FO,1675632070
283,hopkinsville,36.8656,-87.4886,15.04,70,69,5.98,US,1675632419
284,namibe,-15.1961,12.1522,22.02,79,58,3.38,AO,1675632391
285,oranjestad,12.524,-70.027,28.28,75,20,12.35,AW,1675632420
286,laguna,38.421,-121.4238,15.03,61,20,7.2,US,1675632371
287,vao,-22.6667,167.4833,26.26,86,75,7.44,NC,1675632131
288,sindor,62.8629,51.8905,-23.58,100,100,0.78,RU,1675632421
289,borgarnes,64.5383,-21.9206,8.78,71,100,13.64,IS,1675632423
290,cherskiy,68.75,161.3,-40.89,100,100,2.3,RU,1675632375
291,hongjiang,27.11,109.9956,7.15,95,100,0.81,CN,1675632425
292,kars,40.602,43.095,-8.75,92,75,1.03,TR,1675632427
293,kavaratti,10.5669,72.642,26.75,76,26,3.14,IN,1675632428
294,calama,-22.4667,-68.9333,24.27,29,40,9.26,CL,1675632248
295,ponta do sol,32.6667,-17.1,16.74,52,53,1.95,PT,1675632355
296,harlingen,26.1906,-97.6961,27.25,65,40,2.06,US,1675632176
297,loreto,22.2667,-101.9667,23.45,11,0,4.4,MX,1675632433
298,cabinda,-5.55,12.2,25.71,86,62,2.14,AO,1675632437
299,betanzos,43.2804,-8.2147,10.61,75,0,1.03,ES,1675632438
300,luderitz,-26.6481,15.1594,18.03,82,63,6.64,NA,1675632354
301,kruisfontein,-34.0033,24.7314,23.82,80,86,4.02,ZA,1675632409
302,montepuez,-13.1256,38.9997,20.98,96,96,1.51,MZ,1675632442
303,darnah,32.767,22.6367,10.74,57,99,15.23,LY,1675632445
304,monte patria,-30.6919,-70.9467,28.77,39,1,4.25,CL,1675632447
305,coahuayana,18.7333,-103.6833,31.0,43,0,3.51,MX,1675632448
306,saint anthony,45.0205,-93.218,0.23,64,0,2.57,US,1675632328
307,ewo,-0.8725,14.8206,25.49,61,80,1.32,CG,1675632450
308,craig,40.5153,-107.5464,1.97,51,0,0.0,US,1675632307
309,santa maria,-29.6842,-53.8069,28.61,45,20,2.06,BR,1675632451
310,ilulissat,69.2167,-51.1,-16.99,78,100,6.69,GL,1675632413
311,bow island,49.8668,-111.3684,4.71,75,96,2.57,CA,1675632453
312,beringovskiy,63.05,179.3167,-28.85,93,100,5.33,RU,1675632355
313,vila velha,-20.3297,-40.2925,27.97,82,20,4.12,BR,1675632454
314,tiznit,29.5833,-9.5,11.04,47,31,0.59,MA,1675632455
315,vanimo,-2.6741,141.3028,25.1,90,100,1.55,PG,1675632396
316,hanna,51.6334,-111.9018,-2.3,84,100,2.68,CA,1675632456
317,bacolod,10.6667,122.95,24.32,86,87,3.86,PH,1675632457
318,hofn,64.2539,-15.2082,7.84,98,100,14.57,IS,1675632391
319,waitara,-38.925,174.25,23.05,76,8,3.84,NZ,1675632458
320,avera,33.194,-82.5271,19.1,60,66,2.24,US,1675632254
321,tzucacab,20.0667,-89.05,28.97,52,24,1.89,MX,1675632459
322,togur,58.3631,82.8265,-20.13,100,100,1.45,RU,1675632460
323,andenes,69.3143,16.1194,2.18,87,75,6.17,NO,1675632461
324,husavik,66.0449,-17.3389,8.43,78,100,17.32,IS,1675632461
325,tual,-5.6667,132.75,26.62,82,100,9.6,ID,1675632462
326,lucapa,-8.4192,20.7447,17.51,94,97,0.84,AO,1675632463
327,uribia,11.7139,-72.266,31.6,43,59,11.46,CO,1675632464
328,pontalina,-17.525,-49.4472,24.47,88,100,1.19,BR,1675632464
329,barcelos,41.5388,-8.6151,12.69,62,0,2.9,PT,1675632465
330,salekhard,66.53,66.6019,-23.48,97,22,1.41,RU,1675632466
331,santa rosa,14.3122,121.1114,25.99,86,82,2.63,PH,1675632467
332,kaina,12.6374,8.5873,25.54,18,100,3.22,NG,1675632468
333,ketchikan,55.3422,-131.6461,4.99,75,100,4.12,US,1675632221
334,adre,13.4667,22.2,22.32,12,100,3.9,TD,1675632469
335,saint-paul,-21.0096,55.2707,26.06,80,100,1.24,RE,1675632469
336,zaysan,47.4667,84.8667,-8.77,84,99,1.99,KZ,1675632470
337,eureka,40.8021,-124.1637,10.34,90,100,0.89,US,1675632173
338,spirit river,55.7833,-118.8361,4.24,74,97,8.64,CA,1675632472
339,olafsvik,64.8945,-23.7142,5.82,74,100,18.77,IS,1675632473
340,mezen,65.8522,44.24,-17.92,97,42,2.96,RU,1675632473
341,pupiales,0.8714,-77.6403,11.08,82,75,4.63,CO,1675632474
342,wohlen,47.3524,8.2788,3.3,95,100,1.27,CH,1675632475
343,margate,51.3813,1.3862,5.94,84,65,1.79,GB,1675632386
344,mulchen,-37.7167,-72.2333,32.92,18,0,4.33,CL,1675632477
345,kungurtug,50.5994,97.5228,-21.57,99,99,0.9,RU,1675632460
346,strezhevoy,60.7333,77.5889,-22.61,100,100,1.35,RU,1675632478
347,nioro,13.35,-15.75,26.95,15,18,4.08,GM,1675632479
348,pemberton,50.3164,-122.8027,6.83,95,100,1.63,CA,1675632379
349,shingu,33.7333,135.9833,3.78,57,49,2.44,JP,1675632230
350,tukrah,32.5341,20.5791,10.02,62,96,12.64,LY,1675632481
351,dvinskoy,62.1535,45.1175,-21.36,100,100,1.33,RU,1675632482
352,vung tau,10.346,107.0843,24.45,82,14,7.51,VN,1675632483
353,yingcheng,30.95,113.55,8.81,73,98,1.72,CN,1675632483
354,meulaboh,4.1363,96.1285,23.52,88,100,2.09,ID,1675632322
355,rockingham,42.9668,-71.0995,8.89,47,100,4.27,US,1675632485
356,kita,13.0349,-9.4895,27.4,16,5,2.14,ML,1675632485
357,forestville,38.8451,-76.875,14.48,31,0,8.23,US,1675632358
358,la rioja,42.25,-2.5,0.88,92,71,2.39,ES,1675632487
359,shangzhi,45.2167,127.9667,-22.47,100,98,1.36,CN,1675632487
360,bonavista,48.6499,-53.1147,-5.02,62,86,9.51,CA,1675632357
361,koumac,-20.5667,164.2833,29.22,73,100,3.07,NC,1675632489
362,panguna,-6.3164,155.4848,21.02,94,100,0.58,PG,1675632489
363,tabou,4.423,-7.3528,26.62,84,96,4.45,CI,1675632490
